=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -111.73 === -120.95 === -133.22 === === === -154.44 === === === === === === === === === -204.00 -206.77 -213.50 -216.72 -222.58 -225.59 -234.92 -238.82 === === -254.45 -259.00 -265.19 -267.76 -274.12 -277.46 -284.38 -289.01 === -298.10 -306.09 -311.92 -313.87 -320.57 -325.93 -333.90 -337.69 -343.65 -344.81 -354.39 -357.58 -364.44 -365.98 -375.32 -377.65 -385.48 -388.16 -393.45 -398.23 -406.04 -408.69 -415.62 -416.76 -423.07 -430.36 -433.45 -442.78 -448.07 -449.56 -458.27 -462.50 -463.80 -472.00 -475.20 -481.14 -486.98 -492.44 -495.06 -502.99 -509.24 -515.21 -519.53 -521.02 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -99.06 === === === === === === === === === === === === === === === === === === === === -207.75 -212.13 -214.36 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -378.52 === === === === -405.33 === === === === === -435.83 === === === === === -467.32 -471.88 === -480.14 === === === === === === -515.39 -521.91 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -100.41 === === === === === === === === === === === === === === === === === === === === === === -216.42 -221.49 === === === === === === === === -266.58 === === === === === === === === === === === -329.88 -337.19 === === === -358.32 === === === === === === === === === === -414.12 -418.46 === -427.77 === === -442.71 === === === -464.34 -471.08 === -479.69 -485.36 -489.64 -496.68 === -506.90 === -519.13 -520.75 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -98.65 === === === === === === === === === === === === === === === === === === === === === === === -222.19 -223.33 -228.64 === === === === === === === -270.26 === === === === === === === -312.29 === === === -336.80 === === === === === === -370.98 -376.31 === === === === === -410.02 -415.53 === === -429.29 === === === === -453.07 === -467.30 === -477.75 === === === -496.09 -501.28 -505.02 === -518.40 -521.15 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -227.99 -228.42 -236.03 === === === === === === === === === === === === === === === === -322.44 === -335.50 === === -349.82 -353.34 === -366.51 -372.48 === === -384.12 === -398.39 === === === -417.44 === === === -440.19 -444.35 === -453.81 -457.00 === === === === === === -498.07 -503.13 === -512.60 -517.52 -520.13 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -231.51 -233.43 -238.95 -243.43 === === === === === === === === === === === === === === === === === === === === -354.29 -361.94 -365.53 -369.19 -376.60 -383.40 === === -395.86 === === -411.70 -416.36 -423.20 -430.64 -435.57 -437.61 -444.01 === === === === === === -477.72 -487.36 === === === === === -519.05 -520.68 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -242.05 -243.78 === === === === === === -282.99 -288.08 === === === === === -319.63 === === -335.91 -337.80 === === === -359.35 === === -375.36 -382.41 -385.00 -390.00 -394.34 -400.46 -406.89 === -415.37 === -430.30 === === -443.40 === -455.41 -461.51 === === -476.01 -478.90 -487.36 === -494.19 === === === -519.06 -519.96 === === 
