=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -361.46 === -378.23 === === === -406.35 === -424.04 === -444.03 -444.68 -460.56 -466.42 -470.73 -482.37 -485.66 -496.33 -501.19 === === -527.09 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -238.83 === -252.06 -256.46 === -272.01 -281.75 -291.38 -295.76 -301.21 -314.37 -320.97 -324.25 -336.31 -345.12 -353.08 -356.07 -364.18 -371.76 -376.83 -386.12 -392.14 -405.38 -407.98 -421.90 -424.74 -431.92 -439.80 -452.80 -459.03 -463.08 -473.27 -483.96 -490.00 -500.73 -504.04 === -518.25 -527.17 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -416.75 -423.71 -431.80 -432.89 -442.15 -450.81 -460.83 -465.42 -479.95 -485.20 -492.40 -502.25 === === -522.17 -526.31 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -421.30 -429.31 -440.08 -445.41 === -461.76 -472.56 -477.47 -489.03 -489.70 -496.31 === === === -530.74 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -422.48 -427.33 -429.82 === -448.06 -458.19 -461.04 -472.08 -482.94 -484.14 -493.46 === === === -522.48 -530.01 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -303.78 -307.21 -315.77 === === === === === === === === === -393.25 === === === -422.22 -424.82 -431.78 === -451.07 -461.43 -465.07 -471.38 -484.31 -489.75 -495.75 === === === -530.77 -536.13 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -307.46 -313.51 -320.30 === -331.03 -338.24 === === === === === === === === === -419.66 -421.84 -426.38 === === -450.30 -461.11 === -472.60 -484.38 -493.43 -498.69 -507.09 === -523.51 === -537.59 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -313.30 === === === === === === === === === === === -406.27 -413.13 -416.05 === === === === -456.49 -460.20 -467.22 -480.73 -487.05 -493.76 -500.84 === === === -535.53 -540.81 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -319.22 -326.13 === -341.71 === === === === === === -392.03 -400.16 -404.60 -411.11 -417.12 === === -442.07 -449.84 -456.83 -467.25 -477.66 -483.44 -487.61 -495.44 === === === -528.39 -531.48 -539.88 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -327.33 === === === === === === === === -395.67 -400.39 -409.87 === === -434.90 -435.28 === -452.28 -460.69 -470.54 -476.09 -479.17 -490.35 -498.56 -505.26 === -525.42 -529.55 -532.38 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -335.68 -340.06 === === === === === === -394.43 -398.84 -402.72 -409.18 === === -436.49 -439.75 -449.67 -455.43 -466.30 -469.17 === === === === -504.07 -520.02 -525.66 === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -346.28 === === === === === -386.56 -397.91 -400.32 -409.63 -415.68 -421.10 === -435.86 -444.47 -452.66 -456.28 -466.69 -470.65 === === === === -512.93 -518.42 -521.80 === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -348.84 -360.43 === -372.70 === === === -400.36 -406.38 -410.80 -418.69 -430.18 -430.01 -441.93 -447.65 -452.77 -462.14 -467.02 === -485.39 === === -508.77 -513.02 === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -286.90 -292.79 -293.37 === === === === === === === === === -362.27 -365.48 === -376.78 -387.38 -397.63 -404.69 -409.61 -415.55 -420.40 -431.94 -437.72 -444.67 -450.88 -460.36 -463.82 === === === -498.56 -503.99 -508.32 === === === === -551.03 -552.78 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -295.64 -300.45 === === === === === === === === === === -373.72 === === === === -409.70 -413.53 -414.45 -425.44 -431.29 -436.22 -445.95 === -464.75 === === === -490.69 -499.31 -501.90 === === === === -546.25 -549.68 -555.67 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -301.92 === === === === === === === === === === === -375.47 -381.57 -387.92 -393.20 === -411.97 -413.89 -421.62 -427.93 -438.28 -444.51 -452.99 === === === === === -493.98 -498.08 === === === === -538.27 -546.38 -548.95 -559.14 === 
