=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === -101.37 -105.84 -112.69 -115.85 -123.76 -132.70 -142.96 -150.17 -156.81 === === === === === -207.51 -210.54 -217.47 -227.85 -237.53 -246.10 -251.10 -259.00 -263.16 -270.51 -283.17 -290.22 -301.08 -310.94 -318.27 -321.08 -333.10 -337.22 -344.77 -352.24 -362.79 -372.77 -374.23 -389.24 -393.34 -403.11 -410.68 -417.48 -426.41 -435.51 -442.18 -448.87 -456.05 -465.83 -474.96 -485.47 -487.24 -498.71 -506.66 -515.54 -519.71 === 
=== === === === === === === === === === === === === === === === === === === === -103.28 -108.80 -116.31 -124.07 -127.68 -140.60 -147.94 -159.26 -161.88 === === === === === -214.18 -219.50 -223.40 -231.07 -242.33 -251.78 -259.20 -264.10 -270.28 -281.72 -289.03 -297.20 -304.73 -315.67 -323.25 -328.17 -339.89 -346.69 -351.81 -361.16 -372.92 -373.63 -382.39 === === -410.75 -420.36 -425.59 === -440.38 === -457.79 -461.39 === === === === === === -521.38 === 
=== === === === === === === === === === === === === === === === === === === === -98.09 -104.88 === -125.77 -130.32 -141.23 -149.61 -157.07 === === === === === === === === -229.09 -233.13 -245.46 -253.09 -256.33 -265.33 -276.73 -279.81 -287.72 -299.56 -301.15 -314.38 -322.95 -331.10 -333.87 -344.84 -350.57 -364.01 -371.76 -374.05 -383.61 -394.29 -398.87 -411.95 === -427.10 === -440.65 -449.30 === === -473.84 -481.36 === === -500.85 === -520.97 === 
=== === === === === === === === === === === === === === === === === === === === -95.99 -108.27 -115.32 -118.77 -131.57 -134.46 -142.18 -152.58 -160.23 -166.59 === === === === === === -228.80 -232.75 -237.26 -244.66 -254.92 -265.86 -274.27 -283.82 -285.16 -299.25 -305.58 -310.03 -316.63 -327.94 -339.27 -340.78 -354.76 -360.66 -364.91 -373.80 === -395.15 -398.56 === === -423.46 -430.64 -440.53 === -459.23 -462.14 -468.70 -480.36 === === === === -519.36 === 
=== === === === === === === === === === === === === === === === === === === === -96.83 -107.84 -114.52 -120.28 -124.94 -138.75 -147.99 -152.99 -161.70 -166.12 -175.57 === -195.29 === === === === === -239.12 -244.70 -257.36 -267.57 -270.95 -276.89 -290.19 -294.84 -300.55 -314.35 -321.21 -327.30 -333.20 -347.19 -350.22 -362.71 -366.37 -379.20 -381.20 -395.53 -397.83 -405.07 -419.10 === -431.45 -436.10 -447.26 -455.23 === -470.38 -482.59 -486.70 === === === -520.38 === 
=== === === === === === === === === === === === === === === === === === === === === === -115.17 -116.26 -124.63 -137.78 -143.57 -150.54 -163.51 -169.94 -174.63 -186.98 -193.53 === === === === === === -251.38 -252.54 -262.66 -269.92 -283.11 -290.55 -298.29 -300.63 -314.09 -316.99 -326.07 -334.91 -346.95 -352.37 -358.88 -369.88 -373.96 -386.60 -390.00 -397.97 -410.14 === === -432.98 -438.00 === -453.99 -463.68 -475.33 -476.21 === -494.62 === === -518.57 === 
=== === === === === === === === === === === === === === === === === === === === === -105.55 -115.45 -122.36 -130.17 -139.40 -146.95 -154.64 -161.47 -166.69 -176.48 -183.37 -191.53 -198.18 === === === === === === -257.60 -267.90 -273.53 -281.62 -290.03 -297.75 -303.06 -309.16 -316.25 -329.74 -333.59 -347.85 -351.34 === -366.60 -373.55 -384.61 -395.36 -398.08 -411.80 === -427.19 -435.65 === -446.87 -453.63 -461.43 -471.04 === -484.49 === === === -519.95 === 
=== === === === === === === === === === === === === === === === === === === === === -108.41 -114.49 -119.12 -126.70 -138.54 -142.71 -154.84 -162.61 -166.70 -175.07 -183.74 -192.37 -202.18 -208.63 === === === === === === === -273.06 -283.63 -291.02 -298.57 -306.51 -313.50 -319.70 -325.38 -333.12 -342.81 -350.34 -357.94 -366.29 -373.94 -380.58 -395.11 -400.22 -407.05 -419.13 -424.67 -428.67 === -446.19 === === -475.86 -477.73 === === === === -520.30 === 
