-735.77 === === === === === === === === === === === === === === === === === === === -620.87 -621.76 === === -668.07 === === === === -728.07 
-521.61 === === -41.25 === -49.51 -67.04 === -108.57 -119.89 -139.82 -152.10 === -204.19 -204.67 -227.55 -259.00 -282.15 -293.34 -321.25 -339.93 -344.81 -368.66 -401.54 -407.55 -438.13 -448.07 -466.91 -499.40 -516.39 
-521.67 === === === === === === === -103.16 -105.53 -139.68 -149.47 -173.08 === -219.77 -237.91 -241.03 -280.29 -297.94 -320.98 -323.02 -350.14 -380.31 -381.01 -407.13 -436.62 -441.83 -472.10 -497.54 -516.04 
-520.58 === === === === === === === -98.17 -106.36 -125.58 -151.93 -179.67 -185.04 === -240.11 -256.30 -276.93 -284.26 -310.10 -338.06 -342.05 -374.81 -389.21 -408.38 -433.38 -440.43 -477.99 -488.08 -517.99 
-520.61 === === === === === === === -95.44 -108.12 -124.23 -155.46 === -197.49 -201.13 -223.20 -257.41 -260.30 -298.29 -310.51 -338.80 -351.39 -371.78 -390.00 -408.24 -420.99 -459.57 -461.31 -491.60 -508.55 
-520.83 === === === === === === === -104.23 -118.85 -141.24 -146.63 -171.48 === -221.17 -239.14 -244.32 === -298.07 -303.85 -339.99 -350.99 -380.03 -400.03 -405.33 -437.27 -445.77 -464.69 -496.17 -501.01 
-523.00 === === === === === === === -110.05 -118.81 -144.61 -148.08 -170.60 -193.42 -215.25 -238.68 -249.72 -267.51 -301.11 -309.67 -340.22 -348.57 -366.75 -397.02 -414.97 -436.16 -446.98 -468.05 -485.61 -513.83 
-524.21 === === === === === === === === -127.71 -155.70 -173.88 -181.51 -197.00 -223.22 -247.47 -261.44 -286.40 -296.11 -323.88 -335.65 -358.31 -383.18 -388.06 -424.54 -444.73 -456.49 -470.25 -496.78 -504.60 
-526.34 === === === === === === === === -144.27 -157.01 -173.28 -187.09 -199.65 -229.49 -244.46 -263.26 -290.53 -307.34 -331.53 -342.43 -358.42 -381.98 -391.97 -421.58 -440.59 -460.69 -482.37 -488.96 -526.57 
-530.03 === === === === === === === === === === === === === === === === === === === === === === -412.33 -431.31 -455.09 -457.03 -484.69 -505.49 -513.35 
-536.13 === === === === === === === -167.61 -170.49 -192.33 -204.05 -223.52 -230.11 -246.56 -262.16 === -308.53 -313.80 -332.69 -355.59 -372.23 -385.73 -418.10 -427.17 -452.97 -467.97 -484.70 -506.31 -532.71 
-539.40 === === === === === === === -183.55 -181.32 -197.99 -212.99 -216.07 -244.14 -266.33 -271.35 === -313.12 -321.58 -345.58 -360.19 -382.83 -389.04 -427.73 -433.29 -456.44 -480.50 -484.90 -513.05 -537.56 
=== === === === === === === === -183.51 -209.45 -203.05 === === -262.22 -267.27 -285.13 === === -333.75 -356.63 -372.67 -380.62 -417.04 -423.06 -448.12 -467.95 -477.30 -488.64 -526.35 -525.91 
-557.27 === === === === === === -208.76 -208.36 === -241.81 -244.29 === -270.42 -273.87 -299.37 -307.17 === -349.26 -371.85 -375.52 -389.14 -420.78 -440.27 -458.25 -459.28 -499.69 -510.26 -513.13 -550.22 
-557.97 === === === === === === -216.51 -231.73 === -247.25 -250.37 === === === -313.35 -325.48 -341.41 === -373.63 -395.71 -412.19 -432.86 -437.76 -467.87 -473.37 -491.52 === === -547.59 
-565.36 === === === === === === -231.86 === === === === === -306.66 === -327.40 -335.57 === === === -405.13 -427.50 -447.39 -446.22 -466.01 -486.20 === === -545.36 -551.03 
=== === === === === === -261.73 -254.01 === === === -289.54 -304.69 === === === -359.00 -363.04 -376.46 === -415.59 -427.80 -445.91 -468.22 -469.77 === === -541.46 -547.69 -564.02 
=== === === === === === -271.21 -269.14 === === -299.53 -302.60 -322.93 === === === -372.94 -387.84 -390.33 === === -439.42 -461.55 -476.75 -477.83 === === -539.95 -549.35 -586.79 
=== === === === -296.88 === -296.07 === === === === -333.93 -327.72 -350.45 === -369.44 === -389.61 -407.27 -435.87 === -460.62 -473.61 === === -525.90 -540.14 -550.75 === -597.77 
=== === === === === === -321.32 === === === === -347.79 -357.87 -359.31 === === === -410.24 -420.03 -439.03 === === -476.38 -493.66 === === -535.86 -554.86 === === 
=== === === === === -329.38 === === === === === === -373.53 -385.06 === === === === -438.58 -456.39 -466.90 === -496.28 -512.24 === -543.31 -556.92 -569.57 === -613.00 
=== === === === === === === === === === === === -390.00 -395.06 === === === === === -464.61 -483.27 === === -523.98 === -561.97 -559.86 -584.04 === -630.00 
=== === === === === === === === === === === === === -414.42 -422.11 -436.58 === === === -482.20 -502.25 -510.27 === === -545.90 === -583.15 -592.24 === === 
=== === === === === === === === === === === === === === -444.45 -457.83 === === === === -509.56 -525.50 -541.86 === === === -594.49 -604.67 === -652.13 
-666.30 === === === === === === === === === === === === === === -459.69 -477.65 === === === -534.55 -540.83 -541.63 -572.01 === === -613.75 -618.23 === -664.87 
-678.86 === === === === === === === === === === === === === === -494.50 -490.38 === === === === -546.67 -560.71 -583.51 -594.32 === -634.25 -635.51 -647.99 -675.26 
=== === === === === === === === === === === === === === === === -507.19 === === === === -571.62 === -595.59 -600.52 -618.39 -639.09 -640.02 -666.78 -681.34 
=== === === === === === === === === === === === === === === === === -542.94 -548.01 -565.04 === === -587.50 === -619.96 -642.35 -652.60 -671.42 -681.07 === 
=== === === === === === === === === === === === === === === === === === -571.68 -574.84 -599.33 === === === === === === === === -709.07 
-734.82 -519.83 === === === === === === === === === === === === === === -579.05 -583.26 === === -607.51 -621.36 === === -662.57 -680.07 === -704.57 -709.41 -719.43 
