=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === -95.17 === === === === === === -137.99 -140.21 -149.78 -153.98 === === === === -185.02 -188.52 -195.51 -201.88 -205.39 === === === === === === === === -259.95 -265.04 -268.37 -277.08 -282.04 -283.66 -293.54 -295.55 -302.09 -309.20 -316.84 -322.74 -328.13 -330.21 -337.93 -340.88 -350.84 -357.00 -362.80 -367.01 -371.72 -376.35 -384.55 -390.21 -393.50 -399.05 -407.05 -409.77 === -423.64 === === === === === === === === === === === -493.92 === === === -517.09 -517.91 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -138.26 -140.80 -146.91 === -158.99 === === === === === === === -203.43 -212.39 -219.40 === === === === === === === -265.76 -270.45 -275.36 -280.96 -285.84 -293.94 -298.71 -301.00 -309.84 -315.99 -322.48 -326.80 -332.57 -335.21 -341.62 -347.22 -351.73 -362.14 -366.47 -373.33 -379.20 -381.87 -385.98 -395.37 -398.12 -408.15 -411.80 -415.16 -420.40 === === === -444.33 === === === === === === === === === === === === -520.03 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -105.08 === === -121.21 === === -138.71 === -151.64 -157.04 -158.72 === === -177.48 === -189.68 === -201.19 -209.10 -213.55 -217.92 -221.86 === === === === === === === === -277.50 -282.36 -284.89 -290.79 -296.35 -301.89 -308.47 === -322.80 -327.38 -331.18 -337.28 -340.79 -348.19 -356.24 -362.87 -364.98 -371.76 -377.25 -384.71 -389.62 -396.77 -399.00 === -409.59 -416.21 -424.15 -426.47 -433.75 === === === === -464.99 -467.58 === === === === === === === === -518.22 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -121.87 -130.39 === -141.15 -145.03 === -158.47 -160.43 === === -179.49 === === -195.06 -199.49 === -213.99 -219.30 -221.45 === === === === === === === === === === -285.44 -291.38 === -300.94 === -316.84 -321.56 -329.24 -334.21 -340.72 -344.60 -348.02 -354.54 -362.94 -364.41 -372.49 -378.81 -382.53 -392.09 -394.89 -402.34 === -409.48 -417.29 -426.15 -430.73 -437.57 === -448.57 -449.80 === === === === === === === === === === === -518.49 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -116.56 -123.62 === === -138.72 -147.47 -148.71 === -161.26 === === === -186.43 === === === === === -219.54 -225.24 -231.13 -234.42 === === === === === === === === === -294.36 -298.96 -302.55 -312.45 -315.84 -320.36 -327.84 === -338.42 -342.59 -352.09 -353.01 -362.71 -365.49 -370.68 -375.80 -381.49 -392.12 -395.25 -400.96 -406.68 -410.73 -417.89 -423.77 -426.81 -433.99 -443.74 -448.01 -451.55 -458.64 -466.63 === === === === === === === === === -520.01 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -111.54 -115.99 === -124.00 === === -141.74 === === === === === === === === -192.08 -199.31 === === -216.81 -219.58 === -233.37 === -242.48 === === === === === === === === === -299.10 -306.94 -307.86 -317.43 -319.85 -326.16 -334.58 -336.09 -343.75 -348.99 -355.39 -362.04 -368.52 -375.21 -378.20 -386.28 -392.53 === -400.41 -408.75 -412.24 -418.21 -421.82 -432.53 -434.46 -442.16 -444.28 -453.40 === -467.13 -469.09 === === === === === === === === -520.81 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -114.36 === -125.43 === === === === === === === === === === === === === === === === -223.14 -224.88 === === -242.81 -246.27 === === === === === === === === -302.68 -307.66 -310.93 -315.69 -324.13 -329.27 -336.53 -340.60 -343.45 -349.66 -354.91 -361.96 -368.00 === === -387.17 === === -403.33 === -413.40 -417.78 -423.90 -428.48 -438.62 -441.61 -447.78 -451.77 === -465.77 -468.94 === === === === === === === -514.46 -520.63 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -114.72 === -128.42 === === === === === === === === === === === === === === === -218.70 === -228.27 -230.01 === === -248.04 === === === === === === === === -300.66 -309.20 -312.13 -319.78 -321.18 -326.77 -332.77 === === === -356.10 -361.57 -370.20 -377.01 === === === -396.05 -402.24 -407.38 -415.02 -418.05 -422.56 -429.32 -435.30 -441.54 -446.59 === -457.35 -464.76 === -478.94 === === === === === === === -519.45 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -119.38 -127.39 === === === === === === === === === === -184.66 === === === === === -218.04 === === -233.03 === -242.89 -252.26 === === === === === === === -299.01 -302.13 -307.79 -314.84 -319.98 -326.52 === -332.54 === === -353.95 -358.26 === === === === === -391.09 -398.88 -400.80 -407.14 === -418.15 === === -435.52 -442.56 -445.84 === -460.76 -463.43 === === === === === === -506.45 === -519.02 -522.43 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -119.27 -120.30 -129.17 === === -146.12 -146.95 === === -163.38 === === -178.82 === === === === === === === === -229.78 -233.16 -243.34 === === === === === === -282.09 -288.85 -291.79 -299.28 -302.98 -310.11 -312.51 -318.36 === -329.23 -333.54 === === === === === === === -379.95 -389.05 === -400.26 -406.94 -411.00 -417.63 === === -435.18 === === -450.14 -455.37 === === === === -480.44 === === === === === -519.86 -520.97 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -118.86 -125.49 === === -139.43 -145.43 === === === === === === === === === === === === === -219.10 === === === -244.13 === === === === === === === -288.59 -292.43 -299.74 -303.80 -307.09 -312.21 === -324.83 === === -340.32 -346.60 === === -365.67 === === -381.04 === === === === === -418.79 === -429.44 === -436.37 === -447.96 -456.49 === === === === === === === === === === -520.45 -521.89 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -122.86 === === -138.70 -142.94 -146.74 === === -165.18 === === === -183.41 === === === === === === === === === === === === === === === === === === === === -300.70 -306.77 -313.43 -314.64 === -328.09 === === === === === === -368.15 -372.34 === -381.68 === === -398.59 -405.17 === === -420.45 === === === -447.08 -451.74 === === -465.44 === === === === === === === === -520.79 -523.51 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -126.47 -129.04 -139.91 -141.66 -143.07 === === === === === -177.14 === === === === === === === === === === === === === === === === === === === === -288.61 === -298.79 -305.63 -310.31 === === -327.79 -331.34 -337.38 -346.37 -352.29 -355.66 === -367.33 -373.07 -376.07 -383.33 -388.66 === -399.27 -406.61 === -417.44 -421.84 -427.22 -433.18 -440.31 === -451.45 -456.13 === === === === === === === === === === -522.45 -525.69 === === 
