=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === 10.00 10.00 10.00 === === === === === === 10.00 10.00 === === === === 10.00 0.00 10.00 === === === === === 161.00 === === === === 10.00 170.00 === === === === === === === === === === === 10.00 10.00 9.00 10.00 10.00 10.00 === === === 10.00 10.00 === === 10.00 === === 10.00 === === === === === === === 10.00 === 10.00 === 10.00 14.00 === === === 10.00 10.00 === === === === === === 111.00 10.00 10.00 10.00 === 10.00 === === === === 9.00 10.00 10.00 === === 
=== === === 9.00 9.00 10.00 === === === === === 10.00 10.00 10.00 === === === === 0.00 0.00 9.00 === === === === === === === === === === 392.00 === === === === === === === === === === === === 0.00 10.00 10.00 === === === === === === === === === === === === === === === === === === 10.00 === === === 10.00 10.00 === 10.00 === 10.00 10.00 9.00 === 10.00 10.00 === === === 10.00 10.00 === === === 111.00 10.00 10.00 10.00 10.00 === 10.00 10.00 10.00 10.00 === === 
=== === === 9.00 === 0.00 === === === === === === === === === === 0.00 0.00 === === === === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 === === 
=== === === === === === === === === === === === === === === === 0.00 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 === === 
=== === === === === === === === === === === === === === 0.00 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 0.00 === === === === === === === === === === 0.00 === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 0.00 === === === === === === === === === === === === === === === === === === === 0.00 === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 0.00 === 0.00 0.00 === === === === === === === === 0.00 0.00 === === 0.00 0.00 === === === === === 0.00 0.00 === === === === === 0.00 0.00 === === === 0.00 === 0.00 === === 
