=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === -102.30 -109.43 -117.86 -128.43 -134.99 -149.22 -149.90 === === === === === -210.11 -213.98 -224.86 -237.99 -242.17 -250.06 -259.00 -268.78 -281.58 -287.76 -302.75 -303.87 -316.53 -322.44 -337.00 -344.81 -350.15 -358.30 -374.87 -380.59 -385.77 -403.69 -408.01 -416.88 -423.57 -438.52 -445.16 -453.37 -461.44 -473.79 -480.26 -486.99 -502.61 -510.38 -515.72 === 
=== === === === === === === === === === === === === === === === === -99.41 -111.29 -117.02 -121.98 -138.33 -146.89 -148.23 -156.83 === === === === -204.13 -217.62 -222.96 -231.75 -246.93 -248.11 -256.62 -269.47 -275.04 -286.35 -298.31 -306.09 -312.82 -323.02 -339.15 -343.95 -355.51 -357.99 -368.69 -382.95 -390.22 -402.85 -407.44 -417.78 -422.66 -432.17 -444.54 -451.52 -463.64 -475.22 -479.43 -487.07 -499.45 -509.95 -515.60 === 
=== === === === === === === === === === === === === === === === === -99.81 -101.82 -117.33 -120.91 -127.30 === -149.07 -161.94 -165.70 === === === === -216.23 -225.47 -235.31 -240.18 -251.44 -261.80 -272.66 -278.57 -290.39 -292.15 -303.37 === -322.84 -329.88 -347.34 -349.63 -364.54 -369.51 -380.89 -385.99 -397.20 === === -428.89 === === -456.58 === === === === === === -517.45 === 
=== === === === === === === === === === === === === === === === === -99.22 === === -121.38 -129.84 -135.40 === === === -179.72 === === === === -225.67 -230.60 -237.93 === -263.18 -270.71 -275.72 -284.85 -298.62 -303.08 -313.99 -320.73 -330.99 -344.19 -348.20 -362.74 -366.12 -377.86 -386.60 -396.07 -402.54 === -423.27 -436.91 -440.78 === === === === -486.56 === === -518.55 === 
=== === === === === === === === === === === === === === === === === -95.53 === === -122.81 === -139.18 -150.32 -152.72 === === -183.49 -192.06 === === === === -241.39 -249.19 -255.09 -266.17 -278.15 -282.14 -299.80 -305.97 -316.89 -323.31 -334.74 -337.77 -346.82 -355.86 -372.77 -382.13 -384.63 -392.56 -408.85 -415.78 -423.29 -432.59 === === === -474.44 === -484.70 -497.01 -504.11 -519.77 === 
=== === === === === === === === === === === === === === === === === -96.12 -98.08 === === === -135.23 -151.84 -154.41 === === === === -201.38 === === === === -253.54 -256.52 -264.51 -279.03 -284.15 -298.28 -305.74 -317.86 -318.86 -332.76 -342.05 -354.04 -360.44 -370.02 -381.60 -390.00 -394.15 -409.20 -419.58 -421.97 -430.00 -445.78 === -465.66 -469.99 -477.66 === === -505.99 -513.99 === 
=== === === === === === === === === === === === === === === === === -96.33 -97.30 === === === -142.94 -149.35 -156.69 === === === === === -209.55 === === === === -263.14 -266.96 -276.47 -290.16 -297.69 -305.23 -309.88 -325.93 -327.74 -339.59 -351.78 -360.56 -371.78 -380.68 -391.45 -398.12 -403.58 -418.75 === -429.89 === -453.70 === === === === === === -517.91 === 
=== === === === === === === === === === === === === === === === === === === === === === -143.00 === -154.94 -163.36 === === === === === === === === === === === -277.07 -284.70 -300.61 -302.02 -317.58 -319.97 -329.88 -340.11 -355.71 -357.15 -374.14 -376.72 -389.09 -398.88 -403.68 -414.79 -422.80 -433.01 -446.77 -455.44 -461.65 === === === === === -519.78 === 
=== === === === === === === === === === === === === === === === === === -106.26 === === === === -155.09 -155.63 === === === === === === === === === === === === === -288.16 -298.02 -310.31 -311.75 -320.92 -332.50 -345.21 -351.35 -360.98 -374.50 -378.97 -391.79 -398.12 -404.03 -411.87 -423.49 -431.93 -443.01 -455.00 -461.62 -474.01 === === === === -517.14 === 
