=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === -58.40 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -258.02 === -272.35 === -285.58 === -297.94 -305.79 === === -323.84 -327.01 === === === === === -360.44 === -376.04 -382.11 -384.55 -390.00 === === -412.23 === === === -432.19 === -446.58 === === === === -478.25 === === === -503.20 === === -517.91 === === 
=== === === === === === === === === === === === === === === === === === === === -58.09 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -294.41 -306.00 -306.68 === === === === -338.88 === === === -362.94 -367.48 -373.88 -381.87 -385.51 -393.85 === -402.50 === -419.89 -422.04 === === === === === === === === === === === === === -506.02 === -520.51 === === 
=== === === === === === === === === === === === === === === === === === === === -60.74 -63.13 === === === === === === === === === === === === -143.80 === === === === -170.28 === === === === === === === === === === === === === === === === === === === === === === -310.31 === -319.44 === === === -346.34 === -358.08 === -369.74 -377.88 -382.11 -389.14 -394.41 === === === -418.22 === === -434.79 === === -453.41 === === === === === === === === === === -518.08 === === 
=== === === === === === === === === === === === === === === === === === === === === -65.62 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -316.51 === === === === === -352.15 -355.84 -360.80 -370.33 -378.65 -383.23 -389.41 -391.24 -399.69 -406.49 === === === === === === === === === === === === === === -493.14 -499.86 === === -518.23 === === 
=== === === === === === === === === === === === === === === === === === === === === -66.67 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -315.01 === === === === -346.12 === === -362.31 -369.46 -374.86 -380.68 -387.75 -393.37 -397.04 -404.27 === -416.08 === -431.49 === -440.35 === === === === === === === === === === === === -520.69 === === 
=== === === === === === === === === === === === === === === === === === === === -68.22 -68.11 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -294.16 -297.27 -303.56 === === === === === === === === -361.40 -365.08 -372.93 -375.30 -383.99 -386.84 -393.60 -403.08 -404.70 -414.54 -421.41 -423.44 -432.89 -438.03 -444.95 === === === === === === === === === === === === -519.73 === === 
=== === === === === === === === === === === === === === === === === === === === -70.96 -71.16 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -366.39 -373.20 -378.24 -382.47 -389.14 -395.60 -397.96 -404.32 -415.30 -419.98 -422.92 -430.38 -437.06 -444.31 === === === -466.23 === === === === === === === === -519.37 === === 
=== === === === === === === === === === === === === === === === === === === === === -76.62 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -302.59 === === === === === === === === === === -367.94 === === -381.07 -390.77 -394.21 -401.65 -405.98 -413.31 -420.65 -424.08 -428.67 -438.28 -440.94 === === === === === === === === === === === === -518.56 === === 
=== === === === === === === === === === === === === === === === === === === === -76.95 -80.46 === === === === === === === === === === === === === === === === === === === === -196.04 === === === === === === === === === === === === === === === === -297.46 -300.90 === === === === === === === === === === === -372.87 === -382.17 === === === === === -417.54 === -434.38 -438.71 -443.84 -448.81 -455.16 -461.01 === === === === === === === -507.14 === -521.67 === === 
=== === === === === === === === === === === === === === === === === === === === === -85.26 === === === === === === === === === === === === === === === === === === === === === -201.03 === === === === === === === === === === === === === === -292.97 -298.88 -300.79 === === === === === === === === === === === -374.16 -376.09 === === === -405.81 -406.88 === === -425.50 === === === -450.14 === -461.83 === === === === === === === === === -522.87 === === 
