=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -106.71 -108.78 -113.84 -121.44 -126.34 -130.17 -136.85 -140.88 -147.25 -151.99 === -159.73 === === === === === === -197.68 -203.78 === === === === === === === === -251.57 -255.40 -259.12 -266.30 -270.64 -276.71 -279.16 -288.38 -293.04 -297.83 -305.09 -306.15 -313.60 -320.28 -323.54 -328.44 -334.84 -336.68 -342.05 -350.04 -353.86 -357.93 -365.62 -372.44 -373.92 -382.51 -388.61 -390.00 -395.45 === === === === === === -434.00 === -442.00 -450.77 === === === -470.40 === -481.99 -485.33 === === -499.07 === === -517.97 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -95.05 === === -109.35 -115.45 -119.19 -123.84 -128.28 -137.74 -141.05 -145.87 -149.71 -157.35 === === === === === === === -199.43 -205.45 === === === === === === === === === -256.68 -263.08 -267.88 -273.07 -274.10 -282.54 -287.50 -293.82 -298.62 -304.08 -310.45 -313.80 -315.78 -324.42 -331.21 -335.92 -337.29 -341.78 -351.28 -355.57 -358.60 -365.15 -370.11 -373.42 -378.48 -388.33 -393.50 -394.15 -399.97 === === === === === === === === === === === === -469.98 -475.31 -482.08 -485.95 === === === === === -517.91 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -103.88 === -115.06 -120.80 -127.31 -131.41 -135.80 -143.07 -147.77 === -156.75 === === === -177.13 === -186.40 === === === === === === === === === === === === === === -268.93 -272.53 -274.28 -283.15 -284.92 -289.78 -299.17 -302.21 -307.70 -314.89 -318.67 === -331.22 -333.07 -338.04 -343.50 -350.72 === -362.69 === -368.86 -378.04 -380.00 -388.21 -390.11 -398.42 -400.85 -408.15 -411.73 === -423.91 === === -438.48 -441.18 -450.61 -451.86 === -463.39 === -475.36 === === === === === === === -517.65 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -99.17 -107.67 === -116.88 -122.05 -125.36 -132.77 -137.20 -143.61 -147.85 -152.53 -155.97 === === === === === === === === === === === === -223.91 === === === === === === === -268.86 -269.52 -276.35 -284.01 -288.77 -292.01 === -302.66 -305.81 -310.99 -317.54 -322.13 -329.41 === -338.29 -343.25 -349.30 -357.30 -360.91 -364.77 -373.31 -376.25 === === -390.80 -397.13 -403.46 -408.24 -411.71 -417.31 -424.85 === -434.85 === -445.50 === -454.19 === === -471.15 === === === === -494.27 === === === -518.91 -519.75 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -100.03 -108.20 -109.47 === -120.30 -128.40 -133.83 -137.87 -144.78 -147.80 -152.84 -155.47 -161.63 -168.34 === -178.41 === -188.26 === -200.20 === === -216.13 === -228.05 -228.47 === === === === === === === === -278.80 -284.54 -285.16 -291.19 -300.00 -305.24 -306.81 -312.89 -319.66 -322.89 === -336.88 -341.13 -343.84 === -354.80 -359.87 -365.49 -371.49 -375.34 -382.04 -389.11 -390.42 -399.32 -399.65 -405.16 === -416.13 === -430.03 === === -446.14 -448.74 -456.26 -459.13 -466.61 -469.57 === === -484.70 === === === === === === -520.40 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -101.08 -106.24 -110.98 -119.39 -121.33 -129.71 -131.25 -139.18 -144.30 -145.99 -153.08 -159.50 -166.03 -169.41 -171.89 === === === -196.13 -200.50 === === -216.94 === -227.32 -230.16 -236.65 === === === === === === === === === -289.95 -291.90 === === -309.21 -316.17 -319.57 -323.58 -332.06 -336.03 -341.27 -343.59 === -356.52 -362.39 -366.55 -370.80 -378.89 -380.91 -385.48 -393.67 -399.20 -405.12 -408.23 -412.44 -420.28 === -427.04 -432.88 -440.01 -443.50 === -454.04 -461.80 -464.05 -469.50 === === === === === === === === -519.31 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -106.25 -106.37 -115.73 -117.64 -125.31 -128.53 -134.44 -141.18 -146.29 -146.97 -154.75 -161.75 -165.73 -172.22 -176.36 -180.16 === -188.61 -195.51 === === === -217.59 -219.95 -228.99 === -238.74 === === === === === === === === === === -295.07 -296.65 -306.88 === -313.99 -320.61 -324.33 -331.89 -334.96 -341.41 -348.01 -349.51 -354.42 -361.77 -364.50 -370.84 === === -387.06 -394.66 -398.85 -400.83 -410.31 -414.66 -417.40 -423.46 -430.53 -434.03 -436.98 -444.20 === === -460.48 -465.34 -468.84 === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -105.91 -108.81 -113.93 -120.91 === -129.17 -135.15 -139.68 -147.63 -149.51 -154.91 -162.10 -168.49 -172.25 -174.74 -182.28 -187.24 -193.19 -196.31 -202.32 -205.85 === -215.18 -219.71 === -232.53 -236.35 === === === === === === === === === === === -301.49 === === === === -323.34 -330.45 -337.87 -341.39 -345.00 -350.46 -357.02 -363.51 === -374.06 -375.72 -381.19 -390.37 -395.33 === -403.65 === -415.29 -420.07 === -430.92 -436.32 -441.01 -443.71 -451.12 -453.25 -459.59 -464.06 -468.62 === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -107.27 -112.90 === === === -131.86 -136.77 === -148.08 -151.86 -157.58 -163.81 -169.54 -171.73 -175.64 -182.90 -187.08 -195.06 -195.32 -201.47 -207.45 -213.62 === -223.83 === === -237.71 -244.49 === === === === === === === === === === -301.19 === -311.45 -317.91 -319.25 -325.36 -328.62 -335.71 -341.29 -347.38 -353.24 -359.45 === -370.16 -370.14 -376.69 === -386.55 -392.20 -399.29 -402.73 -409.43 -413.11 -418.35 -422.59 -431.07 -436.39 === -445.87 -448.50 === === -466.60 === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -109.12 -112.96 -118.12 -122.24 === === === -143.82 -147.82 -152.63 -157.37 -164.60 -166.42 -172.10 -180.43 -184.28 -190.22 -191.26 -200.50 -203.96 -209.01 -212.69 -217.60 -225.75 -228.71 === -238.73 -241.86 -249.05 === -257.81 === === === === === === === -301.02 -307.30 -311.28 -314.01 -320.27 -325.67 -329.55 -335.19 === -350.37 -350.40 === -365.28 === -372.89 -376.74 -380.97 -390.85 -395.25 -401.77 -402.99 -410.98 -414.33 === -427.51 -430.84 -437.60 -442.68 -446.39 -452.88 === === -469.11 === === === === === === === === === -521.28 === === === 
