-735.58 -521.77 -521.87 === === === === === === === === -543.92 === === === === -578.80 -587.54 === === === -625.04 === -646.11 -667.40 -673.79 === -707.01 -711.26 -735.65 
-521.67 -59.50 -55.77 -43.16 === === -61.17 === -103.61 -125.92 -142.84 -156.91 === -204.21 -210.92 -237.34 -256.06 -278.60 -286.25 -317.54 -333.71 -344.81 -368.50 -398.85 -418.12 -439.73 -450.99 -472.33 -486.99 -514.71 
-521.52 -56.85 -39.11 -36.76 -26.09 -39.88 -64.26 === -102.45 -108.27 -133.40 -160.06 -170.16 === -208.73 -230.66 -245.72 -272.74 -285.81 -317.55 -323.95 -342.11 -370.83 -395.76 -403.41 -437.33 -445.08 -476.09 -485.94 -501.53 
-520.46 === -33.94 -22.98 -17.82 -30.97 -42.41 === -97.56 -117.70 -136.70 -151.10 -161.33 -192.46 === -230.29 -245.91 -271.72 -291.79 -310.10 -330.99 -342.29 -367.96 -393.64 -400.29 -434.38 -441.56 -473.99 -481.99 -507.87 
-520.30 -42.03 === -2.75 -11.55 -25.62 -40.68 === -96.35 -119.60 -120.84 -142.13 -171.58 -190.80 -203.23 -223.72 -256.61 -278.32 -294.16 -313.55 -328.59 -341.50 -366.53 -390.00 -403.09 -423.23 -450.80 -468.79 -490.83 -502.84 
-521.54 === === -33.53 -28.23 -33.36 === === -103.31 -117.54 -128.30 -157.37 -166.09 -195.80 -215.68 -239.44 -250.95 === -290.32 -313.12 -327.92 -348.59 -373.64 -395.92 -407.78 -425.46 -447.32 -469.29 -481.27 -518.35 
-522.50 === === -53.84 -43.11 -54.59 -66.17 === -108.12 -130.07 -131.99 -167.36 -168.93 -197.00 -217.77 -241.53 -252.98 -271.35 -300.30 -312.09 -338.96 -345.28 -379.85 -393.60 -413.27 -437.60 -443.84 -476.95 -484.57 -514.94 
-525.86 === === -75.25 -63.25 -69.95 -87.54 === === -132.04 -142.15 -167.42 -187.20 -195.17 -216.74 -231.34 -257.58 -275.36 -296.05 -314.71 -328.68 -359.06 -374.25 -400.21 -413.63 -444.15 -451.74 -477.94 -490.14 -524.05 
-528.00 === -92.09 -96.21 -87.25 -92.63 === === === -149.05 -154.79 -185.69 -192.70 -199.80 -216.78 -253.37 -268.53 -287.61 -309.99 -322.32 -335.15 -364.61 -381.64 -408.53 -427.03 -446.84 -461.37 -482.37 -496.80 -526.64 
-530.26 === -104.53 -111.11 -111.45 -105.10 === === === === === === === === === === === === === === === === === -410.89 -423.21 -448.08 -458.55 -471.21 -510.65 -512.32 
-536.13 === -141.23 -131.56 -129.02 -124.89 === === -171.70 -165.77 -191.99 -194.74 -225.15 -233.07 -240.26 -264.35 -277.82 -305.37 -317.32 -334.74 -348.71 -368.18 -387.30 -419.34 -427.17 -449.83 -457.14 -485.66 -507.59 -529.29 
-539.28 === === -156.91 -151.77 -144.12 === === -174.60 -185.78 -203.93 -224.01 -225.48 -241.97 -266.62 -279.62 -295.04 -314.21 -336.71 -350.93 -357.91 -373.59 -396.41 -408.96 -445.64 -451.52 -468.57 -498.82 -508.05 -524.15 
=== === -169.17 -168.32 -174.08 -168.41 === === -197.71 -213.29 -215.63 -236.67 -239.36 -245.60 -268.06 -284.90 -299.65 -314.60 -334.80 -343.66 -377.81 -379.98 -410.10 -426.46 -440.50 -460.65 -473.43 === -511.64 -526.12 
-555.45 === -186.01 -193.05 -183.44 -181.89 === -212.89 -207.19 -223.60 -222.06 -244.65 -250.86 -267.94 -274.57 -295.95 -311.50 -320.87 -349.14 -369.20 -383.04 -407.46 -413.02 -437.61 -449.85 -469.81 -500.57 -502.06 -515.35 -552.14 
-560.98 === === -210.66 -214.58 -216.49 === -215.20 -235.60 -234.11 === -258.11 === -272.94 -296.20 -311.49 -316.22 -333.32 -360.33 -382.37 -395.29 -401.51 -429.02 -438.40 -456.30 -483.47 -497.30 === -538.42 -550.76 
-571.76 === -233.76 -240.22 -220.51 === === -244.12 -257.06 -258.18 -270.90 -273.07 -287.53 === === -325.22 -339.07 -351.33 -374.88 -388.35 -398.61 -409.51 -432.05 -458.58 -463.64 -481.58 === -523.73 -545.77 -550.36 
=== === -245.10 -244.12 -240.64 === === -253.44 -260.46 -277.60 -278.71 -295.07 -308.02 === === -345.91 -354.60 -358.77 -378.64 -389.51 -419.49 -418.30 -435.87 -469.74 -475.67 === === === -550.48 -573.96 
-586.84 === -263.72 -267.84 -262.13 === -280.87 -283.38 -285.50 -295.78 -300.23 -312.23 -324.99 === -343.12 === -369.87 -385.19 -397.67 -418.06 === -441.97 -457.04 -470.99 -481.86 === === === -554.72 === 
=== === -300.48 -300.44 === === === === -301.08 -311.61 -321.85 -335.63 -341.17 -346.57 === === === -394.35 -419.60 -423.13 -432.85 -453.80 -461.94 -489.56 -513.13 -523.71 === -555.87 === === 
=== === -308.87 -304.95 -319.93 === === -321.05 -329.22 -336.93 -330.36 -345.92 -346.76 -362.41 -378.34 === === -413.35 -423.77 -442.79 -454.26 === -483.16 -496.42 -520.55 -523.04 -550.67 === === === 
=== === -337.46 -326.89 -336.29 === -338.30 -345.60 -344.50 -342.30 -348.07 -364.79 -367.02 -384.42 -392.95 === === -424.90 -438.08 -455.80 -468.03 -487.47 -494.16 -507.20 === -541.95 -568.30 -580.10 === === 
=== === -357.38 -357.06 -341.18 -360.50 -348.01 -359.64 -362.44 -363.36 -374.95 -383.65 -380.65 -401.98 -415.66 -421.13 === === -457.80 -465.63 -482.03 -496.44 -511.07 -525.40 === -548.35 -571.56 -593.80 === === 
=== === -361.94 -368.72 -369.58 -365.49 -373.29 -375.87 -372.04 -396.80 -395.41 -403.65 -409.74 === -432.35 -438.23 === === === -487.54 -503.66 -506.00 -512.77 === -541.32 === -578.34 -601.72 === === 
=== === === -381.70 -389.43 -394.47 -389.39 -396.50 -399.90 -396.55 -403.32 -420.51 -429.18 -432.25 -453.92 -447.28 -466.71 === === -508.40 -508.85 -526.48 -533.14 -546.81 -560.42 -585.24 -600.20 -610.46 -633.88 === 
=== -414.60 -418.52 -414.29 -403.92 -409.14 -411.45 -418.50 -427.25 -423.73 -436.66 -442.32 -447.34 === -458.16 -478.38 -474.84 -496.03 === === === -537.44 -542.58 -566.10 -582.07 -590.90 -604.44 -622.37 -641.08 -665.80 
=== === -429.70 -421.40 -430.49 -436.50 -423.89 -433.43 -432.62 -443.60 -456.89 -460.46 -461.44 -474.49 === -476.25 -497.13 -511.22 === === === -553.03 -573.20 -581.22 -591.44 -599.42 -617.66 -638.61 === -665.58 
=== -444.57 -448.29 -446.52 -443.58 -448.71 -454.29 -462.44 -459.92 -462.26 -474.88 -468.82 -486.46 -486.00 === -511.50 -521.18 -527.63 === === === === -584.22 -597.66 -610.95 -620.79 -637.80 -648.44 === === 
-707.58 -475.60 -473.30 -468.49 -464.50 -477.25 -478.32 -474.19 -469.07 -474.86 -496.60 -500.21 -504.85 -515.26 -516.17 -527.99 -527.70 -535.64 -555.65 === === -590.96 -597.06 -615.16 -621.85 -631.28 -652.54 -667.25 -687.56 -691.61 
-716.25 -486.95 -500.54 -482.34 -483.55 -482.74 -488.53 -486.36 -490.41 -498.85 -507.48 -506.62 -524.67 -516.63 -522.93 -532.46 -553.96 -557.01 -565.21 -577.80 -601.29 === -607.54 -622.49 -638.65 -652.57 -662.69 -685.16 -689.71 -704.79 
-734.64 -514.44 -509.54 -507.27 === === === === -509.98 === === -540.73 -546.67 === -543.44 === === -584.92 -588.61 -597.51 -604.66 -618.99 -642.91 -640.41 -650.99 -657.13 -680.16 -690.88 -710.81 -718.95 
