0.00 10.00 116.00 10.00 === === === 10.00 10.00 0.00 
0.00 === === 10.00 10.00 10.00 10.00 10.00 10.00 10.00 
0.00 === === 10.00 0.00 0.00 9.00 0.00 0.00 0.00 
0.00 === === 10.00 10.00 10.00 0.00 10.00 10.00 799.00 
0.00 === === 10.00 10.00 === 10.00 9.00 10.00 0.00 
10.00 === === 10.00 === 189.00 10.00 10.00 914.00 0.00 
10.00 === 10.00 15.00 === === 10.00 10.00 0.00 === 
903.00 === 10.00 === === === 10.00 10.00 9.00 0.00 
0.00 === === === === === === 10.00 10.00 === 
10.00 10.00 === === === === === 10.00 0.00 0.00 
