=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -301.45 -306.81 -314.56 -326.30 -330.76 -341.56 -350.13 -354.58 -366.46 -373.78 -386.52 -393.32 -404.82 -409.44 -417.92 -425.38 === === === === === -476.78 === -499.50 -510.38 -515.87 === -532.03 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -314.03 -320.97 -326.04 -329.76 -341.28 -346.88 -361.31 -367.04 -373.72 -386.41 === === === === === === === === === === -479.72 === -503.92 -512.16 -515.92 -528.14 -539.04 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -313.77 === === === -344.57 === -362.20 -376.13 === === === === === === === === === === === === === === -501.03 -505.67 -516.55 -528.94 -539.38 === 
=== === === === === === === === === === === === === === === === === -184.20 === === === === === === === === === === === === === === === === === === === === -328.95 === === === -361.32 === -375.54 === -388.61 === === === === === -442.41 -453.66 === === === -484.64 -490.95 -502.79 -510.68 -525.79 -533.27 -535.55 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === -248.87 -259.83 === === === === === === === === === -333.89 -334.72 === -352.98 === -366.34 -381.66 -385.95 === === -411.81 -425.73 -426.23 === -442.82 === === === -480.52 === -502.68 -505.06 -520.69 -526.12 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === -250.35 === === === === === === === === === === === -342.01 === === === === === === -402.57 === -421.53 === -429.16 -440.08 === === === === === -491.43 -503.07 -506.33 -522.67 === === === === 
=== === === === === === === === === === === === === === === === === === === === === -224.82 === === === === === === === === === -287.77 === === === === === === === === -358.53 === === === === === -406.53 -412.99 -418.70 -434.47 -438.98 -448.01 === === -471.34 -482.73 -490.15 === -507.87 -514.90 === === === === === 
=== === === === === === === === === === === === === === === === === === === === -230.13 === === === === === === === === === -286.65 -294.30 -300.43 === === === === === === === -362.09 -367.28 === === === === -411.18 -416.83 -426.87 -432.01 -443.21 -450.85 === === === -485.47 -494.84 -501.44 -505.73 === === === -549.00 -550.76 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -312.00 === === === === === === === -367.20 -370.25 === === === === -413.86 -418.61 -431.66 -434.72 -443.58 -454.66 -464.89 -469.23 -475.48 -491.53 -493.92 -500.76 === === === === -549.52 -559.14 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -301.51 -314.21 -318.54 === === === === === === === -382.23 -386.59 -396.44 === === === === -434.59 === -450.45 -458.94 === === -488.16 -491.43 -495.44 === === === -537.99 === === -563.32 === 
