=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === -68.03 -69.76 === === === === === -101.98 -106.99 -111.53 -119.84 -123.46 -132.37 -135.30 -143.07 -145.26 -150.89 -157.38 === === === === === === === -204.50 -212.79 -219.41 -223.25 -227.14 -234.92 -242.72 -245.44 -250.28 -260.45 -264.45 -267.64 === -284.24 -288.26 === -302.75 -305.46 -309.65 === === === -334.79 -344.46 -350.15 -351.26 -361.93 -363.38 -371.92 -378.76 -385.68 -389.17 === === -404.57 -415.95 === === -431.26 === -445.14 -451.80 === -463.81 -464.44 -474.85 -477.14 -484.71 -491.69 -494.02 -501.29 -507.97 -516.07 -519.12 === === 
=== === === -57.10 === === === === === === === === === === === === === === -62.38 -66.13 -68.51 === === === === === -100.32 -108.17 -108.80 -119.75 -122.01 === === -144.04 -148.03 -155.07 -155.75 === === === === === === === -206.20 -208.91 -218.69 -222.58 -230.17 -234.93 === -245.99 -254.45 === -264.73 === -273.86 -284.10 === === -300.18 -307.81 -314.31 -320.02 -320.53 === -334.80 -339.72 -346.35 -355.25 === -364.79 -370.51 -379.45 === -390.30 === === -407.44 -411.91 === === -430.36 === === === === -462.24 === === === -486.99 === === === -510.14 === -521.39 === === 
=== === === === === === === === === === === === === === === === === === -58.90 -64.24 -62.78 === === === === === -99.43 -102.92 -111.91 -118.08 === -130.43 -133.22 -138.11 -143.53 -152.43 === -160.64 === === === === === === === -211.81 -215.12 === === === === === === === === === === === -288.30 === -298.16 -305.95 === === -323.02 -328.63 === -341.01 -347.80 === === -364.09 === === === === === === === === -418.57 -422.63 -429.88 -435.96 === === === === === === === === === === === === === -520.39 === === 
=== === === === === === === === === === === === === === === === -43.36 === -50.49 === -61.03 === === === === === -97.79 -105.95 -108.57 -113.82 -118.53 -127.35 === -138.10 === -149.28 === -162.66 === === === === === === === === === -222.68 === === === === === === === === === -281.89 -287.91 === -299.30 -305.93 === === === -328.71 -336.80 === === -351.23 -359.53 === === === -381.10 === -396.19 === === === -415.92 === === === === === === === === === === === === === === === === -520.29 === === 
=== === === === === === === === === === === === === === === === === === === === -59.61 === === === === === -97.10 -102.44 -109.52 -111.32 -117.50 -122.88 -130.76 -134.58 -140.60 -149.62 -154.93 === -167.12 -170.69 === === === === === === === === === === === === === === -263.02 === -274.19 -282.06 -285.96 === -297.57 === === === -322.08 -330.54 -331.63 -337.47 -343.69 -350.77 === === === === -383.23 === -393.33 === -403.81 === -418.80 === === === === === === === === === === === === === === === === -520.14 === === 
=== === === === === === === === === === === === === === === === === === === === -60.07 === === === === === -96.38 === -108.47 -113.08 -119.09 -125.41 -129.42 -136.96 -140.18 -148.72 -153.43 -157.72 -164.72 === === -181.26 === === === === === === === === -236.52 === === === === === === -279.80 === === === -300.64 -307.64 === === === === === === -349.93 -357.05 -362.62 -367.40 -376.84 -379.48 === === === === -413.27 === === -431.65 -433.96 === === -455.12 === === === === === === === === === === -520.61 === === 
=== === === === === === === === === === === === === === === === === -42.05 === === === === === === === === -96.09 === === -112.50 -118.73 -122.24 -127.13 -132.53 -142.19 -148.12 === -161.45 -162.45 -168.41 -178.81 === -188.04 === === === === === === === === -243.90 === === === -267.12 === -281.28 -283.35 === -295.91 -302.16 === === === === -332.90 -339.31 === -350.21 -359.64 === -369.09 -374.50 -379.51 -384.95 === -396.19 === === === === -427.71 === === -449.08 === -460.46 === === === === === === === === === -520.47 === === 
=== === === === === === === === === === === === === === === === === -40.35 === === -56.53 === === === === === -95.76 === === -109.26 -115.52 -121.25 -129.01 -133.41 -138.21 -146.70 -155.85 -160.89 -163.67 -171.81 -177.19 -181.50 === -194.38 === === === === === === === === === -253.41 === === === === -282.14 === === === === === === -328.96 -334.83 === -346.41 -351.13 === === -366.98 -377.30 -380.98 -387.35 -391.19 -401.01 === === === === === === -439.83 === === === === === === === -490.61 === === === === -517.99 === === 
