=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === -340.64 === === === === === === === === === === === === === === === === === -445.05 === -459.76 -471.55 === === === -510.16 -517.22 -532.11 -536.16 === === === -585.61 === === -613.37 
=== === === === === === -351.56 === === === === === === === === === === === === === === === === === === === === === === === -481.85 === === === -518.24 -527.66 -540.37 -551.68 -560.62 === === -592.13 === === -624.73 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -493.74 -498.87 === === === -541.44 -552.06 -553.48 -568.83 -581.97 -596.09 -597.74 === === -635.33 
=== === === === === === === === === === === === === === === === === === === === === === -430.35 === === === === === === -496.33 -500.29 -512.38 === === === -546.55 -560.61 -565.23 -573.23 === -600.59 -603.05 === === -635.35 
=== === === === === === === === === === === === === === === === === === === === === === === -457.05 === === -471.82 === === === === -524.94 -528.92 === === === -571.62 -577.96 -582.67 === -608.97 -612.30 === === -647.64 
=== === === === === -402.07 === === === === === === === === === === === === === === === === === === === === === === === === === === -537.06 === === === -579.83 -583.02 -590.67 -601.03 -617.67 -622.68 === === -651.77 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -548.67 === === -576.38 -582.80 -596.92 -597.58 -618.83 -631.12 -636.63 -642.33 === -664.42 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -566.01 -574.12 -592.60 === -600.93 -614.88 -628.54 -632.20 -645.75 -645.93 -661.61 -672.13 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === -531.43 === === === === -578.57 -586.66 -590.11 -599.81 -612.53 -625.79 -631.63 === -646.76 -665.59 -668.34 -679.95 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -566.54 -585.69 === -588.60 -606.90 -612.14 === -636.33 === === -661.15 -669.62 -680.68 -693.70 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -594.17 === -615.97 -623.60 -633.66 -645.93 -644.76 -657.42 -663.91 -676.59 -688.58 -693.44 
=== === === === === === === === === === === === === === -495.76 === -504.95 === -513.93 === === === === === === === === === === === === === === === === === === -644.21 -649.84 -663.62 -670.42 -678.12 -686.31 -702.34 -704.73 
=== === -501.23 === -490.99 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -679.83 === -702.00 -709.69 -709.89 
=== === -510.65 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -636.74 === === === -663.12 === === === === -704.31 -709.97 -720.61 
=== === -521.50 -520.45 === === -518.26 -520.56 -520.53 -521.59 -523.69 -522.18 -526.50 -529.34 -529.43 === -536.33 === === === === === === === === === === === === === -618.68 -619.52 === -638.27 -648.34 -652.01 === -673.71 -680.89 -686.04 -695.38 -706.48 -720.05 -720.03 -732.51 
