=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === -98.48 -98.96 === -116.94 -121.05 -129.60 -131.88 -142.54 -144.89 -150.14 -157.98 -162.95 -169.14 -175.69 -183.09 -188.02 === === -211.62 -217.40 === === === === === === === -267.89 -274.21 -280.68 -283.10 -291.32 -296.13 -305.30 -311.78 -318.30 -320.18 -329.98 -334.35 -342.91 -349.31 === -361.91 -367.48 -371.49 -376.47 -385.30 -393.64 -397.13 -403.92 -413.64 -415.46 -422.55 === -437.30 -443.68 -445.88 -456.47 -461.87 === === -480.04 -485.97 -490.86 === === === -519.75 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === -98.97 -99.85 -106.56 -118.10 -122.58 -127.62 -132.75 -138.30 -147.77 -155.43 -160.14 -164.71 -169.02 -174.82 -185.39 -187.69 === === === === -224.04 -227.34 === === === === === === -275.17 -281.24 -284.45 -293.23 -295.34 -303.64 -308.17 -316.12 -323.76 -330.44 -337.01 -344.60 -348.26 -352.15 -359.15 -368.52 -372.02 -382.19 -384.69 -391.39 -400.89 -405.34 === -418.37 -420.99 -431.08 -433.88 -440.74 -448.83 -452.24 -460.73 === === -480.02 === -490.12 === === === -518.79 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -101.48 === -119.60 -121.96 -129.41 -137.59 -138.93 -146.08 -155.52 -160.36 -164.26 -171.50 -177.36 -182.34 -193.57 -195.55 === -207.10 === === -228.99 -234.90 === === === === === === === -285.88 -290.78 -299.39 -307.13 -312.00 -314.01 -324.53 -327.65 -333.53 -340.94 -346.29 === -363.52 -368.29 -371.13 -382.25 -383.27 -391.79 -401.83 -402.82 -408.61 -419.10 -421.22 -432.23 -433.92 -441.36 -447.66 -455.09 -460.35 -466.91 -474.48 -479.69 -484.85 === === === === -520.32 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -102.38 === -120.07 -125.80 -127.47 -133.98 -139.79 -151.48 -156.65 -160.01 -165.84 -174.26 -178.96 -182.35 -194.43 -201.19 -203.06 -208.80 -219.76 === === -233.08 -239.54 -249.52 === === === === === === -295.25 -297.92 -306.45 -311.85 -320.25 -322.23 -330.58 -333.56 -342.07 -352.04 -354.52 -364.06 -365.03 -371.97 -381.59 -387.79 === -401.83 -404.61 -410.58 -418.48 -422.98 -430.24 -434.37 -445.61 -450.42 -454.70 -461.01 -470.16 === === -485.08 -494.57 === === === -519.36 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === -105.37 -105.90 === -119.31 -126.72 -129.51 -136.05 -142.05 -149.19 -158.86 -165.00 -167.46 -176.34 -178.12 -188.64 -194.50 -202.20 -206.41 -213.88 -217.33 === -227.85 === -245.18 -250.23 -254.23 === === === === === === -301.38 -308.43 -314.87 -320.61 -324.81 -331.19 === -341.30 -348.44 === -360.08 === === -377.70 -386.07 -394.95 -401.55 === -412.91 -420.00 -427.19 -429.95 -434.65 -443.71 -447.25 -457.51 === === -473.00 -481.30 -489.87 === -503.00 === === -521.12 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === -118.40 -119.11 -125.47 -134.59 -141.60 -147.06 -152.66 -157.74 -166.30 -168.86 -179.73 -182.75 -189.19 -194.19 -202.32 -209.08 -210.97 -216.86 -223.34 === === -242.02 === -256.95 -266.23 === === === === === -300.54 -304.69 -314.08 -321.44 -327.17 -334.88 -337.61 -343.92 === === -361.81 === === -382.34 -390.85 === -400.82 -407.32 -414.65 === -427.47 -433.66 -437.60 -446.41 -448.06 -456.04 -461.96 === === === === === -499.36 === === -520.80 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -109.32 -121.79 -124.66 -129.47 -134.12 -139.55 -146.22 -152.38 -159.54 -165.61 -175.08 -179.25 -185.87 -188.74 -194.04 -203.84 -210.15 -217.54 -221.24 -225.97 -233.56 -239.92 -244.34 === === -265.93 -267.09 -275.43 === === -297.88 -303.49 -307.62 -310.64 -320.25 -323.42 -331.32 -341.90 === -349.14 === -364.47 -370.52 -378.98 === -385.97 -393.09 -398.05 === -411.02 -422.32 -424.85 -434.85 -437.34 -443.84 -450.00 === === === === === === === === === === -520.80 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -119.25 -122.06 -131.12 -132.35 -135.95 -142.48 -151.17 -156.51 -160.71 -171.26 -171.54 -179.46 -184.10 -194.22 -197.75 -202.10 -211.46 -217.30 -223.40 -226.85 -236.05 -237.17 === -251.62 === === -273.08 -274.67 -287.13 -292.63 -297.76 -300.12 -307.68 -312.83 -318.55 === -334.92 -340.43 -344.46 -354.91 -355.25 === -371.85 -376.61 -384.37 -387.91 -392.82 -402.02 -407.95 -413.66 === -424.24 === -442.78 -448.74 -450.14 === === -472.08 === === === === -502.74 === === -522.08 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -121.60 -124.49 -127.59 -135.79 -142.32 -148.17 -153.07 -157.47 -160.96 -168.58 -176.15 -182.20 -186.07 -192.02 -200.97 -208.59 -213.98 -215.61 -226.41 -230.07 -235.45 -240.47 -250.18 -254.59 -262.50 === -270.21 -276.58 -282.72 -292.54 -295.45 -305.78 === === === -326.87 -333.65 -343.94 === -355.09 -360.72 -364.14 -373.62 -378.19 -382.56 -387.76 -398.29 -405.37 -406.92 -412.38 === -429.82 === -439.77 -446.99 -450.91 -456.49 === === === === -492.18 -498.80 -501.64 === === -521.72 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -121.52 -129.36 -134.48 -137.18 -141.53 -148.16 -153.22 -162.92 -167.36 -168.98 -176.43 -184.17 -190.09 -198.48 -203.04 -209.06 -210.10 -218.88 -223.49 -231.60 -239.41 -247.61 -249.52 -256.75 -265.73 -265.22 -275.95 -283.51 -288.53 -290.36 === === === === === === === -340.23 -345.53 -354.10 -363.58 === -372.32 -378.54 -385.75 -391.78 -397.63 -401.14 -412.80 -415.76 -419.79 -426.39 -438.27 === -449.95 -453.78 -462.89 -466.11 -472.87 === === === === === === -514.36 -521.41 === === 
