-735.57 === -521.35 === === === === === === === === === === === === === === === === -610.73 -618.35 -623.59 === -645.96 -661.61 -679.75 === -697.57 -717.69 -735.10 
-521.85 === -46.49 -45.82 -43.73 -51.07 -62.97 === -106.81 -109.70 -134.01 -155.89 === -204.49 -221.85 -229.05 -245.91 -263.87 -295.95 -313.64 -341.60 -343.20 -372.30 -390.36 -415.54 -429.04 -443.36 -477.01 -499.91 -521.50 
-521.64 -53.27 -38.39 -34.18 -36.14 -46.07 -50.58 === -105.02 -121.53 -133.62 -156.53 -163.39 === -214.44 -235.67 -258.37 -279.83 -291.19 -313.17 -323.41 -357.93 -364.62 -390.30 -406.07 -435.74 -444.12 -471.88 -499.52 -503.28 
-520.27 === === -9.95 -13.29 -40.43 -48.47 === -95.85 -120.51 -135.22 -141.33 -177.89 -181.46 === -230.28 -258.19 -277.23 -286.13 -303.95 -336.99 -341.35 -369.88 -389.55 -404.70 -438.00 -449.78 -473.66 -497.99 -501.03 
-520.46 === -31.50 -18.87 === === -56.24 === -96.58 -106.00 -135.83 -143.47 -179.11 -180.83 -218.57 -227.00 -257.60 -272.24 -287.79 -315.11 -327.04 -350.51 -367.51 -390.00 -406.25 -425.64 -455.55 -476.37 -494.55 -506.40 
-520.77 === === -32.86 -27.98 === === === -101.97 -113.63 -142.18 -149.33 -183.49 -189.40 -217.03 -241.79 -243.33 === -297.31 -313.88 -327.26 -358.04 -377.38 -393.60 -403.60 -433.37 -441.49 -469.57 -481.82 -505.55 
-522.87 === === -56.67 === === === === -106.46 -122.87 -149.76 -151.04 -184.09 -193.29 -215.50 -233.23 -265.38 -268.34 -297.24 -310.54 -328.04 -350.17 -375.89 -384.09 -418.57 -437.60 -443.84 -467.01 -484.19 -515.93 
-524.64 === === === -61.95 -68.82 === === === -125.77 -135.00 === === -207.57 -220.60 -244.08 -259.45 -270.80 -297.13 -327.41 -344.48 -362.61 -366.83 -392.01 -421.65 -436.18 -456.49 -475.83 -494.15 -514.25 
-527.30 === === === -84.18 === === === === -141.04 -147.29 -179.13 -189.41 -219.91 -224.35 -245.25 -259.73 -289.92 -307.48 -328.91 -340.20 -368.91 -384.52 -407.42 -430.18 -433.92 -452.40 -482.37 -488.96 -516.01 
-532.58 === === === === === === === === === === === === === === === === === === === === === === -410.23 -422.50 -451.22 -458.38 -479.40 -499.95 -515.70 
-536.13 === === === === === === === === -165.01 === === === === === === === -311.21 -320.26 -346.37 -359.17 -369.78 -385.11 -414.34 -435.95 -447.55 -460.37 -482.84 -496.89 -529.29 
