=== -521.78 -522.01 === === === === === === === === -543.37 === === -559.92 -572.44 -576.88 === === === === === === -650.89 === === -684.10 -702.98 -719.78 -723.43 
-521.66 === === === === === -63.94 === -103.72 -117.60 -145.50 -146.67 === -203.81 -214.95 -235.22 -250.99 -282.89 -293.70 -321.32 -342.38 -349.45 -364.15 -396.40 -411.07 -428.06 -445.86 -474.28 -486.99 -517.74 
-521.20 === === === === -40.07 -66.36 === -99.01 -115.43 -127.78 -158.59 -168.29 === -220.31 -240.40 -251.79 -269.51 -294.78 -310.07 -333.11 -343.92 -377.60 -382.46 -405.85 -428.76 -449.01 -465.05 -490.69 -520.24 
-520.26 === === === -6.61 -33.49 -55.71 === -97.70 === -137.38 -144.38 -168.69 -190.71 === -234.96 -244.87 -268.00 -295.11 -315.66 -336.83 -347.89 -376.81 -388.02 -406.84 -426.85 -447.64 -477.99 -485.88 -505.01 
-520.72 === === === -17.45 -37.23 -56.30 -64.18 -99.42 === === === -177.87 -181.58 -205.43 -220.96 -258.26 -280.00 -295.85 -303.52 -323.40 -341.04 -374.95 -390.00 -417.80 -426.30 -457.19 -463.65 -499.34 -503.74 
-520.59 -55.52 -52.42 -35.36 -40.02 -36.35 -67.07 -67.07 -102.94 -110.72 === === -178.55 -187.80 -213.43 -233.64 -250.50 === -300.13 -319.08 -326.09 -361.06 -376.43 -392.22 -409.01 -439.08 -442.64 -475.41 -482.07 -505.60 
-522.87 -63.58 -54.27 -58.31 -60.54 -57.31 -78.20 -80.57 -108.55 -120.22 === === -183.71 -188.43 === -236.71 -260.05 -272.44 -301.57 -306.33 -337.91 -349.01 -378.10 -391.63 -414.23 -438.94 -446.93 -465.35 -486.84 -507.38 
-523.81 -75.93 -82.29 -64.09 -73.70 -74.34 -92.52 -91.92 === -133.26 === -164.16 -187.15 -196.71 === -244.98 -250.82 -285.51 -288.55 -320.56 -345.84 -359.35 -381.76 -403.99 -410.52 -433.78 -462.89 -469.34 -497.69 -511.50 
-526.91 -105.45 -99.59 -95.38 -92.56 -89.83 -107.81 -116.03 === -142.34 -160.36 -178.11 -203.18 -217.82 -236.32 -251.41 -271.14 -291.38 -309.43 -323.34 -337.03 -358.58 -383.32 -401.93 -424.25 -431.64 -466.34 -482.37 -488.96 -510.37 
-530.26 -108.89 -117.78 -113.81 -105.09 -112.50 -113.20 -133.73 === === === === === === === === === === === === === === === -411.46 -432.37 -442.35 -463.96 -482.60 -506.72 -511.82 
-536.13 -136.83 -131.12 -132.56 -126.99 -141.34 -143.00 -139.54 -170.15 -169.30 -181.96 -192.49 -217.68 === -247.24 -275.97 -278.01 -308.09 -314.81 -346.81 -362.69 -380.48 -389.59 -417.32 -432.33 -458.28 -469.31 -490.59 -511.99 -529.29 
-540.51 -154.55 -145.15 -148.87 -151.05 -157.96 -163.33 === -176.60 === === === -228.68 -248.26 -263.97 -275.13 -283.18 -314.30 -322.54 -349.44 -363.69 -378.17 -395.38 -418.51 -444.74 -460.56 -470.67 -488.28 -521.81 -532.16 
=== -175.58 -169.44 -173.76 -164.14 -174.63 -172.13 === -184.17 === -225.40 -235.37 -239.69 === -271.10 -289.88 -311.01 -316.60 -336.92 -361.26 -377.03 -400.96 -409.77 -431.15 -445.00 -453.09 -476.48 -487.43 -509.85 -526.32 
=== -192.44 -195.53 -181.79 === === -189.84 === -205.61 === -226.79 -236.41 -249.87 -269.35 -274.26 -302.91 -316.09 -328.04 === -360.38 -383.39 -398.71 -420.96 -437.93 -460.37 -465.04 -493.37 -499.22 -514.60 -556.11 
-562.08 -209.23 -214.05 === === -218.16 === -223.35 === === === -246.76 === === === === === -344.51 -356.22 -371.17 -397.57 -413.89 -421.66 -436.26 -458.26 -472.60 -490.53 === === -560.72 
=== -237.50 -225.74 === === === === === === === === === === === === -333.44 -333.60 === -362.71 -388.29 -399.03 -426.96 -436.07 -453.41 -466.25 -479.75 === === === -568.45 
=== -245.35 -246.93 === === === === -256.18 === === === === === === === -345.83 -352.10 === -383.70 -402.11 -418.23 -438.89 -445.47 -460.98 -469.45 === === === === === 
=== -269.28 -269.42 === -261.65 === === === === === === === === === -351.44 === -372.51 === === -413.22 === -449.80 -451.92 -478.47 -482.19 === === === === -582.59 
=== -289.10 === === === === === === === === === === === === === === -383.16 -385.17 === === -433.67 -459.89 -456.78 -479.97 === === -542.55 === === -590.38 
-609.62 -321.70 === === === === === === === === === === -358.73 === === === === -407.47 === === -444.35 === -482.41 -497.98 -517.12 -540.12 === === === -599.60 
=== === === -333.14 -337.95 === === === -346.85 -352.75 === === === === === === === -426.31 -427.10 === -465.51 -468.48 -496.52 -509.55 === === === === === -615.22 
-625.53 === -352.62 === -347.15 -359.79 === === -372.83 === === === === === === === === === -456.60 === === -490.33 === -534.99 -536.44 === === === === -628.50 
=== === -360.85 === === -363.89 === === === === === === === === === === === === -471.23 -485.93 -484.92 === -513.88 === -540.90 === === === === -637.11 
=== === === === -395.96 -397.03 === === === === === === === === === === === === === -497.27 -512.46 === === -549.37 -565.09 === === === === -645.73 
=== === === === === -401.95 -403.87 -427.05 === === === === === === === === === === === === -522.50 === === -557.66 -575.70 === === === === -655.40 
=== === === === === === -435.98 === -440.06 -451.45 === === === === === === === === === === -537.52 === -568.59 === -582.98 === === === === === 
=== -458.25 -457.60 -444.81 === === === === === === === === === === === === === === === === === -570.09 -591.93 -605.21 -612.24 -619.59 === === === === 
=== -477.50 -464.61 === === === === === === === -486.89 === === -498.71 === === -530.88 === === === === -587.53 -590.57 -604.94 -615.33 === -647.85 === === === 
=== === === === === === === === === === === === === === === === === === === === === === -610.53 === === === -665.88 === === === 
-733.05 -502.07 -520.57 === === -519.53 === === === === === -541.66 -544.06 -552.76 -556.28 === -572.40 -582.97 === === === === -637.04 -646.81 -655.68 === -683.68 -688.73 -708.92 -730.42 
