0.00 9.00 0.00 0.00 0.00 0.00 10.00 10.00 10.00 10.00 0.00 10.00 10.00 10.00 0.00 
0.00 10.00 10.00 10.00 10.00 0.00 0.00 10.00 10.00 0.00 0.00 0.00 10.00 10.00 10.00 
0.00 10.00 0.00 === 10.00 0.00 0.00 0.00 10.00 10.00 0.00 0.00 0.00 0.00 0.00 
0.00 === === === 10.00 0.00 0.00 0.00 10.00 10.00 0.00 0.00 0.00 0.00 0.00 
0.00 10.00 === === === 0.00 161.00 0.00 10.00 10.00 0.00 0.00 0.00 0.00 0.00 
0.00 10.00 === === 21.00 12.00 0.00 10.00 === 10.00 10.00 10.00 10.00 0.00 0.00 
10.00 === === === 10.00 0.00 === 0.00 10.00 10.00 0.00 0.00 0.00 0.00 0.00 
83.00 === === === 10.00 0.00 0.00 0.00 0.00 0.00 10.00 0.00 0.00 0.00 10.00 
0.00 === === === 10.00 0.00 0.00 0.00 10.00 88.00 10.00 0.00 0.00 10.00 10.00 
0.00 === 10.00 10.00 === 0.00 === 10.00 10.00 0.00 0.00 10.00 0.00 10.00 0.00 
536.00 === 108.00 10.00 === === === === 10.00 10.00 0.00 10.00 10.00 0.00 48.00 
10.00 10.00 10.00 9.00 === === === === 10.00 === 0.00 0.00 10.00 0.00 === 
10.00 41.00 === === === === === === 0.00 10.00 10.00 0.00 10.00 0.00 0.00 
0.00 === === 0.00 === === === === 0.00 0.00 10.00 0.00 0.00 0.00 0.00 
0.00 === 0.00 0.00 === 816.00 === 0.00 0.00 0.00 20.00 10.00 0.00 0.00 0.00 
