## Generation 0 
{'robot_pos': [261.5733337402344, 515.853759765625, -0.7224609851837158], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -498.4320005453182}
{'robot_pos': [192.2640838623047, 580.4671630859375, 0.5340800285339355], 'collision': 12, 'exit_reached': 0.0, 'dist_obj': -537.0101076615399}
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [190.10777282714844, 580.1063232421875, 0.785289466381073], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1330245625126}
{'robot_pos': [16.71222686767578, 578.4342651367188, -2.7143633365631104], 'collision': 914, 'exit_reached': 0.0, 'dist_obj': -520.2383286250689}
{'robot_pos': [38.43210983276367, 465.99713134765625, -2.6679446697235107], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -406.5696060317249}
{'robot_pos': [62.60722732543945, 454.554443359375, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -394.5630575826287}
{'robot_pos': [16.54067039489746, 557.3080444335938, -1.6236056089401245], 'collision': 19, 'exit_reached': 0.0, 'dist_obj': -499.2033697683642}
{'robot_pos': [61.77003860473633, 448.8831481933594, -1.1137816905975342], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -388.88717642195473}
{'robot_pos': [60.00001907348633, 450.0, 2.5853941440582275], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.00000000000045}
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [328.6342468261719, 410.4786376953125, -0.9254416823387146], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -441.5876289578624}
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [56.915138244628906, 466.24249267578125, 2.7315828800201416], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -406.25420518129033}
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [59.99937438964844, 450.00006103515625, -1.0145295858383179], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.000061035658}
{'robot_pos': [57.392723083496094, 445.445556640625, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.4543747668725}
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [291.6606140136719, 386.6747741699219, -0.8496925234794617], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -400.4785239737094}
{'robot_pos': [190.1077880859375, 580.1063232421875, 0.7853981852531433], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1330282654875}
{'robot_pos': [57.392723083496094, 445.445556640625, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.4543747668725}
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [107.73808288574219, 579.0274658203125, 1.8378956317901611], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -521.2182218931545}
{'robot_pos': [64.55375671386719, 452.6075744628906, 0.2544478476047516], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -392.6339825153234}
{'robot_pos': [60.000064849853516, 450.0, -1.014594316482544], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0000000000054}
{'robot_pos': [164.9893035888672, 579.3671264648438, 0.9131504893302917], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -529.8725940454218}
{'robot_pos': [57.082210540771484, 443.4048767089844, 1.5232011079788208], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -383.4159790352508}
{'robot_pos': [80.61302185058594, 343.6283264160156, 1.0250433683395386], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -284.3763777379595}
{'robot_pos': [16.892799377441406, 542.1151123046875, 2.0156736373901367], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -484.0384408888151}
{'robot_pos': [43.103065490722656, 455.2131652832031, -1.3839309215545654], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -395.5742059449519}
{'robot_pos': [190.10777282714844, 580.1063232421875, 0.7853242754936218], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1330245625126}
{'robot_pos': [190.1077880859375, 580.1063232421875, 0.7853981852531433], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1330282654875}
{'robot_pos': [190.07504272460938, 580.08642578125, 0.83967125415802], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1057796943851}
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [59.99931716918945, 450.00006103515625, -1.0145231485366821], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.000061035754}
{'robot_pos': [59.99897384643555, 450.0000915527344, -1.014482855796814], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.00009155408435}
{'robot_pos': [62.84794998168945, 445.06951904296875, -1.6758511066436768], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.0800505285641}
{'robot_pos': [64.5545654296875, 452.6071472167969, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -392.6335646782696}
{'robot_pos': [190.1077880859375, 580.1063232421875, 0.7853981852531433], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1330282654875}
{'robot_pos': [60.00000762939453, 450.0, 2.5853970050811768], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.00000000000006}
{'robot_pos': [158.33291625976562, 580.4483032226562, 1.7907896041870117], 'collision': 12, 'exit_reached': 0.0, 'dist_obj': -529.6563024712271}
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [190.10777282714844, 580.1063232421875, 0.7854462265968323], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1330245625126}
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [16.85694694519043, 408.9927978515625, -1.8706583976745605], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -351.6493935429886}
{'robot_pos': [190.10716247558594, 580.1060791015625, 0.7859179377555847], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1326396012925}
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [55.379974365234375, 447.37603759765625, 0.24763217568397522], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -387.40358689837484}
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [190.10357666015625, 580.0993041992188, 0.7659563422203064], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1251970279671}
{'robot_pos': [190.10760498046875, 580.1062622070312, 0.7858665585517883], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.132924619187}
{'robot_pos': [60.00006103515625, 449.9999694824219, 2.585390567779541], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -389.99996948242665}
{'robot_pos': [62.60710144042969, 454.55450439453125, 1.3163694143295288], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -394.56311778463896}
## Generation 0 
{'robot_pos': [70.64020538330078, 579.7858276367188, -1.80917227268219], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -519.8947206719718}
## Generation 1 
{'robot_pos': [60.00003433227539, 450.0, 0.7854008674621582], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0000000000015}
## Generation 2 
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 3 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 4 
{'robot_pos': [190.1077880859375, 580.1063232421875, 0.7853981852531433], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1330282654875}
## Generation 5 
{'robot_pos': [57.392723083496094, 445.445556640625, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.4543747668725}
## Generation 6 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 7 
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 8 
{'robot_pos': [67.68314361572266, 439.05670166015625, -0.05511254072189331], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -379.1345589224181}
## Generation 9 
{'robot_pos': [157.4408721923828, 437.28125, 0.06460520625114441], 'collision': 431, 'exit_reached': 0.0, 'dist_obj': -389.66121846441786}
## Generation 10 
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 11 
{'robot_pos': [130.4900665283203, 578.659912109375, 1.7503172159194946], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -523.428079021819}
## Generation 12 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 13 
{'robot_pos': [17.898359298706055, 454.94696044921875, -2.7273852825164795], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -397.18465443395166}
## Generation 14 
{'robot_pos': [17.57356834411621, 407.57354736328125, 0.7853981852531433], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -350.1533563022729}
## Generation 15 
{'robot_pos': [66.26265716552734, 432.9591979980469, 3.060535192489624], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -373.01177494298923}
## Generation 16 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 17 
{'robot_pos': [70.38165283203125, 440.0531311035156, -1.1029212474822998], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -380.19489893620465}
## Generation 18 
{'robot_pos': [57.392723083496094, 445.445556640625, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.4543747668725}
## Generation 19 
{'robot_pos': [62.6072883605957, 454.554443359375, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -394.5630579859467}
## Generation 20 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 21 
{'robot_pos': [296.9724426269531, 478.3959045410156, -0.621484100818634], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -480.84412391260355}
## Generation 22 
{'robot_pos': [62.6072883605957, 454.554443359375, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -394.5630579859467}
## Generation 23 
{'robot_pos': [17.64497947692871, 445.77166748046875, -3.0069375038146973], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -388.08984422962055}
## Generation 24 
{'robot_pos': [70.38165283203125, 440.0531311035156, -1.1029212474822998], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -380.19489893620465}
## Generation 25 
{'robot_pos': [55.3188362121582, 447.3839416503906, 0.2455081045627594], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -387.4122243076512}
## Generation 26 
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 27 
{'robot_pos': [61.349815368652344, 450.1139831542969, -2.922856330871582], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.1163183642034}
## Generation 28 
{'robot_pos': [190.6820831298828, 379.9704895019531, -2.6721129417419434], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -345.6282989040178}
## Generation 29 
{'robot_pos': [190.1015625, 580.101806640625, 0.8332282900810242], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1271358882923}
## Generation 30 
{'robot_pos': [190.0316162109375, 580.1660766601562, 0.7881317734718323], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1725175001495}
## Generation 31 
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 32 
{'robot_pos': [64.55455017089844, 452.6072082519531, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -392.633625532317}
## Generation 33 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 34 
{'robot_pos': [57.392723083496094, 445.445556640625, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.4543747668725}
## Generation 35 
{'robot_pos': [17.36008644104004, 435.6274719238281, 2.8889517784118652], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -378.03989193232223}
## Generation 36 
{'robot_pos': [55.4454345703125, 447.3928527832031, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -387.41962579838645}
## Generation 37 
{'robot_pos': [68.09127807617188, 357.4477233886719, -1.6383541822433472], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -297.557753940323}
## Generation 38 
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 39 
{'robot_pos': [57.38286209106445, 445.4082946777344, 1.320320963859558], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.4171804904832}
## Generation 40 
{'robot_pos': [79.25529479980469, 337.77825927734375, -1.7725785970687866], 'collision': 67, 'exit_reached': 0.0, 'dist_obj': -278.4448378134861}
## Generation 41 
