0.00 10.00 10.00 878.00 549.00 88.00 === 12.00 10.00 0.00 
0.00 10.00 10.00 10.00 === 126.00 10.00 10.00 0.00 0.00 
0.00 === === === === 0.00 10.00 0.00 0.00 0.00 
0.00 === === 281.00 === 0.00 10.00 0.00 0.00 0.00 
951.00 === === 10.00 15.00 390.00 85.00 14.00 14.00 0.00 
10.00 === === 0.00 === 126.00 0.00 20.00 0.00 0.00 
=== === 10.00 10.00 === 127.00 0.00 10.00 0.00 === 
10.00 === 10.00 === === === 10.00 0.00 76.00 === 
10.00 === === === === === 197.00 731.00 10.00 0.00 
43.00 10.00 0.00 35.00 0.00 0.00 === 10.00 329.00 878.00 
