=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -101.08 -106.93 -112.63 === === -129.88 -137.83 -140.04 -145.04 -151.86 -156.27 === === === === === === === -207.80 -211.59 -214.42 -223.25 -227.14 -234.83 -239.31 -244.37 -252.61 -259.00 -264.79 -272.91 -273.69 -281.61 -285.75 -296.74 -302.75 -306.93 -313.87 === -321.70 === -336.24 -342.29 -350.15 === -361.52 -363.58 -374.11 === -384.17 -389.72 === === -408.63 === === -423.03 -431.72 === === === === -458.73 -466.03 === === === === === === -511.17 -513.61 -518.12 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -98.85 -104.47 === === === -128.57 -137.25 -138.58 -143.87 -151.85 -156.00 === === === === === === === -207.35 -212.57 -213.99 -222.20 -226.05 === === === -255.40 -260.00 -263.90 -270.54 === -282.66 -286.53 -291.58 -301.27 === -310.20 === -321.32 === === === === -355.25 -361.92 === === === -381.10 -390.30 -397.72 -400.16 -407.44 -410.81 -417.83 -423.70 === === === === === === === === === === -488.28 === === === -515.23 -521.37 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -100.09 -102.07 === === === -127.08 -134.74 === === === -159.52 -162.95 === === === === === === === -212.80 -217.50 -220.93 -226.85 -230.62 -236.59 -245.35 === === === === === === -289.55 -295.43 -300.12 === === === === === === === === === === === === === === === === === -404.21 === === === === === === === === -460.58 === -472.45 === === === === === === === -520.92 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -98.60 -100.10 === === === === -129.74 === === === === === -168.19 === === === === === === === === -222.81 -224.68 -234.38 -241.44 -242.87 === === === === === === === === === === === -314.57 === -329.88 === === === === === === === === === === -396.38 -399.08 === === === === === === === === -453.07 === === === === === === === === === === -520.03 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -96.82 -98.66 === === === === === === === === === === === -171.58 === === === === === === === === -224.90 -230.06 === -246.12 === === === === === === === === === -302.06 === -314.24 === === -334.37 === -343.76 -352.13 === === -366.71 === === -388.97 === -401.38 === === === === === === === === -452.78 === === === -479.19 === === === === -505.21 -515.86 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === -96.54 === === -110.43 === === === -137.53 === === === === === === === === === === === === === === === -233.86 -236.52 === === === === === === === === === === === === === === === === === -343.48 -354.29 -356.53 -361.36 === === === === === -398.05 === === === === -431.92 === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === -104.47 === === === === === === === -153.40 === === === === === === === === === === === === === -239.12 -245.41 -250.21 === === === === -279.58 === === === -301.69 === === === === -332.28 === === -348.22 -354.30 === === -377.22 === -386.63 === -398.33 -406.06 === -417.49 === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -109.58 === === === -134.06 === === -152.82 -157.06 === === === === === -196.34 === === === === === === === === -250.00 -253.29 === === === -278.60 === === === === === === === === === === -347.03 -352.01 === === === === -380.56 -388.95 -394.82 -396.24 === === === === === === -440.72 === === === === === -477.99 === === === === === === -517.89 === === 
