=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -205.60 -207.28 -218.69 -223.25 -232.53 -238.79 -245.99 -249.14 -259.00 === -270.91 -281.01 -288.17 -293.64 -296.20 -307.81 -310.20 -319.91 -327.99 -333.48 -338.29 -350.15 -355.25 -360.46 -367.91 -373.43 -384.79 -392.63 -398.59 -404.79 -413.89 -417.59 -423.77 -435.70 -442.17 -445.04 -450.11 -462.16 -470.51 -472.33 -481.14 -492.20 -495.63 -506.04 -507.40 -514.26 -520.52 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -212.36 -218.54 -227.21 === === === === === -268.91 === -281.44 === -300.86 === === === === === -343.31 -346.52 -352.35 -363.00 -370.73 -374.67 -381.07 -388.27 -397.87 -401.13 -412.52 -418.71 -427.97 -433.61 -440.81 -446.15 -455.97 -461.76 -464.34 -472.56 -479.23 -485.77 -494.66 -501.20 -510.11 -513.46 -520.67 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -223.57 === === === === === === === === === === -297.66 -302.68 -315.20 === === -336.34 === -349.65 -355.63 -361.09 -365.66 -376.36 -379.44 -391.87 -398.89 -401.41 -410.33 -415.38 -422.21 -430.22 -437.29 -448.59 -454.60 -462.29 -468.06 -471.16 -478.11 -485.04 -497.54 -499.84 -508.94 -518.25 -519.95 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -225.23 === === === === -261.45 === === === === -296.03 === -309.39 -319.71 -326.67 === -340.28 === -350.93 -363.14 -366.71 -375.65 -384.95 -388.22 -397.42 -399.34 -413.46 -417.09 -421.86 -433.43 -435.88 -441.85 === -458.91 === === -481.05 -484.58 -493.80 -502.69 === -517.45 -520.74 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -236.47 -238.28 === === === === === === === === === === === -328.27 -331.02 -337.74 -348.19 -353.39 -361.36 === -375.29 -378.19 -387.02 -394.34 -403.99 -409.97 -416.77 -423.92 === -437.26 -444.85 -455.28 === -462.50 === -479.78 -488.57 -491.48 === === -516.23 -519.89 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -243.25 -250.21 === -262.18 === === === === -294.12 -302.11 === -318.49 === -329.82 -335.51 -348.71 -353.98 -360.83 -365.14 -377.50 -384.06 -386.63 -397.63 -404.70 -412.08 === -421.59 -432.18 -438.71 -447.93 -449.20 -458.92 -467.77 -473.01 -480.08 -484.70 -493.31 === -509.81 -511.93 -520.16 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -256.76 -258.02 === === === === === === -307.27 === -323.74 -334.34 -338.77 -342.92 === -359.91 -368.15 -377.58 -381.68 -390.00 -396.99 -399.23 -409.58 -414.44 -420.82 -434.00 -435.18 -441.47 -449.99 === -467.08 -473.70 -477.99 -485.13 -494.13 -502.02 -509.99 -518.45 -520.01 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -265.08 === === -289.29 === === === === -323.15 -331.75 -339.62 -343.31 -350.38 === -368.16 -374.73 -384.19 -387.28 -394.12 -400.36 -408.28 === -424.12 -432.35 -435.85 -447.10 -448.78 -456.29 -469.28 -474.14 -482.59 -490.37 === -497.92 -507.15 -513.14 -520.40 === 
